"county","votes","type","name","race"
"Appling","2334","Election Day","BRIAN KEMP  (REP)","Governor"
"Atkinson","808","Election Day","BRIAN KEMP  (REP)","Governor"
"Bacon","609","Election Day","BRIAN KEMP  (REP)","Governor"
"Baker","409","Election Day","BRIAN KEMP  (REP)","Governor"
"Baldwin","3054","Election Day","BRIAN KEMP  (REP)","Governor"
"Banks","3471","Election Day","BRIAN KEMP  (REP)","Governor"
"Barrow","10278","Election Day","BRIAN KEMP  (REP)","Governor"
"Bartow","15129","Election Day","BRIAN KEMP  (REP)","Governor"
"Ben Hill","931","Election Day","BRIAN KEMP  (REP)","Governor"
"Berrien","2299","Election Day","BRIAN KEMP  (REP)","Governor"
"Bibb","14025","Election Day","BRIAN KEMP  (REP)","Governor"
"Bleckley","1342","Election Day","BRIAN KEMP  (REP)","Governor"
"Brantley","2405","Election Day","BRIAN KEMP  (REP)","Governor"
"Brooks","1799","Election Day","BRIAN KEMP  (REP)","Governor"
"Bryan","4253","Election Day","BRIAN KEMP  (REP)","Governor"
"Bulloch","7583","Election Day","BRIAN KEMP  (REP)","Governor"
"Burke","2310","Election Day","BRIAN KEMP  (REP)","Governor"
"Butts","1412","Election Day","BRIAN KEMP  (REP)","Governor"
"Calhoun","430","Election Day","BRIAN KEMP  (REP)","Governor"
"Camden","5265","Election Day","BRIAN KEMP  (REP)","Governor"
"Candler","687","Election Day","BRIAN KEMP  (REP)","Governor"
"Carroll","14544","Election Day","BRIAN KEMP  (REP)","Governor"
"Catoosa","7481","Election Day","BRIAN KEMP  (REP)","Governor"
"Charlton","1243","Election Day","BRIAN KEMP  (REP)","Governor"
"Chatham","28456","Election Day","BRIAN KEMP  (REP)","Governor"
"Chattahoochee","337","Election Day","BRIAN KEMP  (REP)","Governor"
"Chattooga","3035","Election Day","BRIAN KEMP  (REP)","Governor"
"Cherokee","37596","Election Day","BRIAN KEMP  (REP)","Governor"
"Clarke","6627","Election Day","BRIAN KEMP  (REP)","Governor"
"Clay","156","Election Day","BRIAN KEMP  (REP)","Governor"
"Clayton","4382","Election Day","BRIAN KEMP  (REP)","Governor"
"Clinch","638","Election Day","BRIAN KEMP  (REP)","Governor"
"Cobb","84398","Election Day","BRIAN KEMP  (REP)","Governor"
"Coffee","2946","Election Day","BRIAN KEMP  (REP)","Governor"
"Colquitt","4831","Election Day","BRIAN KEMP  (REP)","Governor"
"Columbia","19711","Election Day","BRIAN KEMP  (REP)","Governor"
"Cook","1625","Election Day","BRIAN KEMP  (REP)","Governor"
"Coweta","21166","Election Day","BRIAN KEMP  (REP)","Governor"
"Crawford","1594","Election Day","BRIAN KEMP  (REP)","Governor"
"Crisp","1411","Election Day","BRIAN KEMP  (REP)","Governor"
"Dade","2271","Election Day","BRIAN KEMP  (REP)","Governor"
"Dawson","3502","Election Day","BRIAN KEMP  (REP)","Governor"
"Decatur","2421","Election Day","BRIAN KEMP  (REP)","Governor"
"DeKalb","26461","Election Day","BRIAN KEMP  (REP)","Governor"
"Dodge","2355","Election Day","BRIAN KEMP  (REP)","Governor"
"Dooly","760","Election Day","BRIAN KEMP  (REP)","Governor"
"Dougherty","6188","Election Day","BRIAN KEMP  (REP)","Governor"
"Douglas","8633","Election Day","BRIAN KEMP  (REP)","Governor"
"Early","1063","Election Day","BRIAN KEMP  (REP)","Governor"
"Echols","290","Election Day","BRIAN KEMP  (REP)","Governor"
"Effingham","9029","Election Day","BRIAN KEMP  (REP)","Governor"
"Elbert","2190","Election Day","BRIAN KEMP  (REP)","Governor"
"Emanuel","2611","Election Day","BRIAN KEMP  (REP)","Governor"
"Evans","655","Election Day","BRIAN KEMP  (REP)","Governor"
"Fannin","4519","Election Day","BRIAN KEMP  (REP)","Governor"
"Fayette","14144","Election Day","BRIAN KEMP  (REP)","Governor"
"Floyd","11136","Election Day","BRIAN KEMP  (REP)","Governor"
"Forsyth","24876","Election Day","BRIAN KEMP  (REP)","Governor"
"Franklin","3631","Election Day","BRIAN KEMP  (REP)","Governor"
"Fulton","49326","Election Day","BRIAN KEMP  (REP)","Governor"
"Gilmer","4805","Election Day","BRIAN KEMP  (REP)","Governor"
"Glascock","488","Election Day","BRIAN KEMP  (REP)","Governor"
"Glynn","8567","Election Day","BRIAN KEMP  (REP)","Governor"
"Gordon","7511","Election Day","BRIAN KEMP  (REP)","Governor"
"Grady","2846","Election Day","BRIAN KEMP  (REP)","Governor"
"Greene","1542","Election Day","BRIAN KEMP  (REP)","Governor"
"Gwinnett","69135","Election Day","BRIAN KEMP  (REP)","Governor"
"Habersham","3758","Election Day","BRIAN KEMP  (REP)","Governor"
"Hall","29380","Election Day","BRIAN KEMP  (REP)","Governor"
"Hancock","375","Election Day","BRIAN KEMP  (REP)","Governor"
"Haralson","5264","Election Day","BRIAN KEMP  (REP)","Governor"
"Harris","6018","Election Day","BRIAN KEMP  (REP)","Governor"
"Hart","3012","Election Day","BRIAN KEMP  (REP)","Governor"
"Heard","1980","Election Day","BRIAN KEMP  (REP)","Governor"
"Henry","15315","Election Day","BRIAN KEMP  (REP)","Governor"
"Houston","12107","Election Day","BRIAN KEMP  (REP)","Governor"
"Irwin","1006","Election Day","BRIAN KEMP  (REP)","Governor"
"Jackson","8762","Election Day","BRIAN KEMP  (REP)","Governor"
"Jasper","1891","Election Day","BRIAN KEMP  (REP)","Governor"
"Jeff Davis","1517","Election Day","BRIAN KEMP  (REP)","Governor"
"Jefferson","1586","Election Day","BRIAN KEMP  (REP)","Governor"
"Jenkins","658","Election Day","BRIAN KEMP  (REP)","Governor"
"Johnson","891","Election Day","BRIAN KEMP  (REP)","Governor"
"Jones","3191","Election Day","BRIAN KEMP  (REP)","Governor"
"Lamar","2208","Election Day","BRIAN KEMP  (REP)","Governor"
"Lanier","571","Election Day","BRIAN KEMP  (REP)","Governor"
"Laurens","6279","Election Day","BRIAN KEMP  (REP)","Governor"
"Lee","5605","Election Day","BRIAN KEMP  (REP)","Governor"
"Liberty","2730","Election Day","BRIAN KEMP  (REP)","Governor"
"Lincoln","1204","Election Day","BRIAN KEMP  (REP)","Governor"
"Long","1257","Election Day","BRIAN KEMP  (REP)","Governor"
